n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
1985,15/12/2017,soins divers,11,Pan troglodytes,28
1986,15/12/2017,soins divers,11,Felis silvestris,29
1987,15/12/2017,soins divers,2,Felis silvestris,28
1988,16/12/2017,vaccin,19,Loxodonta africana,19
1989,16/12/2017,vaccin,10,Urocyon cinereoargenteus,12
1990,16/12/2017,operation,7,Elephas maximus,14
1991,16/12/2017,mise en quarantaine,11,Rangifer tarandus,3
1992,16/12/2017,soins divers,10,Ailurus fulgens,11
1993,17/12/2017,mise en quarantaine,17,Pan troglodytes,37
1994,18/12/2017,mise en quarantaine,25,Giraffa camelopardalis,14
1995,18/12/2017,soins divers,11,Elephas maximus,18
1996,18/12/2017,mise en quarantaine,17,Panthera pardus,16
1997,19/12/2017,vaccin,7,Prunella modularis,23
1998,19/12/2017,platre,28,Ailurus fulgens,38
1999,20/12/2017,mise en quarantaine,19,Ardea cinerea,39
2000,20/12/2017,vaccin,7,Giraffa camelopardalis,14
2001,21/12/2017,operation,1,Rangifer tarandus,4
2002,21/12/2017,platre,7,Haliaeetus leucocephalus,12
2003,21/12/2017,vaccin,3,Equus caballus,8
2004,21/12/2017,mise en quarantaine,28,Urocyon cinereoargenteus,13
2005,21/12/2017,soins divers,2,Panthera leo,20
2006,21/12/2017,vaccin,10,Pongo pygmaeus,33
2007,21/12/2017,operation,26,Lutra lutra,2
2008,22/12/2017,operation,3,Panthera uncia,15
2009,23/12/2017,vaccin,27,Panthera tigris,4
2010,23/12/2017,vaccin,17,Urocyon cinereoargenteus,24
2011,23/12/2017,soins divers,25,Falco peregrinus,15
2012,23/12/2017,vaccin,1,Pan troglodytes,10
2013,23/12/2017,mise en quarantaine,12,Elephas maximus,11
2014,23/12/2017,soins divers,26,Canis dingo,18
2015,24/12/2017,platre,7,Panthera uncia,33
2016,24/12/2017,platre,7,Giraffa camelopardalis,30
2017,25/12/2017,vaccin,12,Pongo pygmaeus,26
2018,25/12/2017,vaccin,11,Giraffa camelopardalis,24
2019,26/12/2017,vaccin,1,Felis silvestris,33
2020,27/12/2017,mise en quarantaine,4,Canis dingo,13
2021,27/12/2017,vaccin,28,Rangifer tarandus,1
2022,28/12/2017,platre,16,Urocyon cinereoargenteus,11
2023,1/1/2018,mise en quarantaine,17,Ailurus fulgens,14
2024,2/1/2018,soins divers,10,Rangifer tarandus,20
2025,3/1/2018,operation,16,Ailuropoda melanoleuca,17
2026,3/1/2018,vaccin,7,Ailurus fulgens,10
2027,3/1/2018,soins divers,26,Ursus maritimus,15
2028,3/1/2018,operation,26,Canis dingo,22
2029,3/1/2018,operation,7,Loxodonta africana,3
2030,3/1/2018,operation,28,Cervus canadensis,8
2031,3/1/2018,operation,7,Haliaeetus leucocephalus,3
2032,3/1/2018,mise en quarantaine,26,Panthera uncia,1
2033,3/1/2018,soins divers,26,Bubo scandiacus,11
2034,4/1/2018,operation,25,Ailuropoda melanoleuca,5
2035,4/1/2018,vaccin,1,Ailuropoda melanoleuca,26
2036,4/1/2018,operation,29,Panthera uncia,14
2037,4/1/2018,operation,25,Rangifer tarandus,19
2038,5/1/2018,platre,10,Haliaeetus leucocephalus,18
2039,6/1/2018,platre,19,Struthio camelus,43
2040,6/1/2018,soins divers,16,Falco peregrinus,22
2041,6/1/2018,soins divers,27,Lutra lutra,21
2042,6/1/2018,platre,30,Ardea cinerea,29
2043,6/1/2018,vaccin,2,Ailuropoda melanoleuca,26
2044,7/1/2018,platre,28,Bubo scandiacus,36
2045,8/1/2018,platre,11,Prunella modularis,4
2046,8/1/2018,vaccin,19,Ailurus fulgens,33
2047,8/1/2018,platre,26,Ailurus fulgens,7
2048,8/1/2018,mise en quarantaine,3,Aptenodytes forsteri,41
2049,8/1/2018,vaccin,30,Ailurus fulgens,15
2050,9/1/2018,operation,2,Cervus canadensis,26
2051,9/1/2018,vaccin,12,Prunella modularis,8
2052,9/1/2018,mise en quarantaine,3,Rangifer tarandus,4
2053,10/1/2018,vaccin,4,Prunella modularis,8
2054,10/1/2018,operation,1,Panthera uncia,16
2055,11/1/2018,vaccin,29,Lynx rufus,6
2056,12/1/2018,vaccin,26,Giraffa camelopardalis,16
2057,12/1/2018,operation,1,Rangifer tarandus,9
2058,12/1/2018,soins divers,2,Felis silvestris,25
2059,12/1/2018,soins divers,7,Aptenodytes forsteri,6
2060,12/1/2018,mise en quarantaine,10,Aptenodytes forsteri,45
2061,12/1/2018,mise en quarantaine,29,Cervus canadensis,10
2062,12/1/2018,platre,11,Ailurus fulgens,38
2063,13/1/2018,mise en quarantaine,2,Felis silvestris,33
2064,13/1/2018,vaccin,19,Ailurus fulgens,36
2065,14/1/2018,mise en quarantaine,27,Bubo scandiacus,11
2066,14/1/2018,soins divers,27,Panthera leo,44
2067,14/1/2018,vaccin,12,Rangifer tarandus,23
2068,14/1/2018,platre,17,Canis dingo,8
2069,14/1/2018,operation,10,Elephas maximus,14
2070,14/1/2018,soins divers,10,Haliaeetus leucocephalus,12
2071,14/1/2018,vaccin,11,Pan troglodytes,5
2072,14/1/2018,mise en quarantaine,3,Hippopotamus amphibius,20
2073,14/1/2018,platre,7,Rangifer tarandus,3
2074,14/1/2018,vaccin,16,Panthera pardus,2
2075,14/1/2018,operation,17,Giraffa camelopardalis,10
2076,14/1/2018,platre,27,Felis silvestris,28
2077,14/1/2018,operation,10,Giraffa camelopardalis,13
2078,14/1/2018,soins divers,16,Ardea cinerea,24
2079,15/1/2018,mise en quarantaine,3,Bubo scandiacus,35
2080,16/1/2018,mise en quarantaine,26,Elephas maximus,17
2081,16/1/2018,mise en quarantaine,28,Lutra lutra,10
2082,16/1/2018,vaccin,3,Bubo scandiacus,28
2083,16/1/2018,soins divers,11,Loxodonta africana,17
2084,16/1/2018,mise en quarantaine,4,Struthio camelus,38
2085,16/1/2018,platre,27,Struthio camelus,19
2086,17/1/2018,vaccin,19,Aptenodytes forsteri,30
2087,17/1/2018,mise en quarantaine,11,Felis silvestris,21
2088,17/1/2018,operation,19,Lutra lutra,27
2089,18/1/2018,vaccin,30,Ailurus fulgens,6
2090,18/1/2018,platre,28,Rangifer tarandus,24
2091,18/1/2018,operation,29,Ailuropoda melanoleuca,8
2092,18/1/2018,platre,30,Pan troglodytes,18
2093,18/1/2018,operation,16,Ailurus fulgens,9
2094,19/1/2018,operation,4,Elephas maximus,8
2095,19/1/2018,vaccin,2,Panthera pardus,10
2096,19/1/2018,operation,25,Hippopotamus amphibius,8
2097,19/1/2018,soins divers,11,Panthera uncia,3
2098,20/1/2018,operation,17,Aptenodytes forsteri,8
2099,21/1/2018,vaccin,27,Pongo pygmaeus,20
2100,22/1/2018,vaccin,17,Struthio camelus,16
2101,22/1/2018,soins divers,19,Eunectes murinus,26
2102,22/1/2018,platre,7,Pan troglodytes,13
2103,22/1/2018,vaccin,4,Cervus canadensis,2
2104,22/1/2018,platre,12,Struthio camelus,14
2105,22/1/2018,vaccin,10,Haliaeetus leucocephalus,18
2106,22/1/2018,vaccin,19,Aptenodytes forsteri,16
2107,23/1/2018,vaccin,12,Panthera leo,1
2108,24/1/2018,soins divers,16,Ursus maritimus,15
2109,24/1/2018,vaccin,19,Pan troglodytes,14
2110,24/1/2018,mise en quarantaine,26,Panthera tigris,3
2111,24/1/2018,platre,19,Aptenodytes forsteri,9
2112,24/1/2018,platre,1,Ailuropoda melanoleuca,10
2113,24/1/2018,vaccin,30,Bubo scandiacus,35
2114,25/1/2018,soins divers,3,Bubo scandiacus,30
2115,25/1/2018,operation,27,Urocyon cinereoargenteus,11
2116,25/1/2018,soins divers,4,Ailurus fulgens,8
2117,25/1/2018,platre,11,Bubo scandiacus,10
2118,25/1/2018,operation,2,Struthio camelus,20
2119,25/1/2018,operation,28,Panthera pardus,6
2120,25/1/2018,platre,25,Panthera tigris,4
2121,25/1/2018,vaccin,2,Panthera uncia,29
2122,25/1/2018,soins divers,2,Giraffa camelopardalis,14
2123,25/1/2018,mise en quarantaine,4,Ardea cinerea,15
2124,25/1/2018,operation,27,Aptenodytes forsteri,37
2125,25/1/2018,vaccin,1,Eunectes murinus,17
2126,25/1/2018,operation,25,Panthera tigris,13
2127,25/1/2018,mise en quarantaine,26,Falco peregrinus,19
2128,25/1/2018,mise en quarantaine,26,Aptenodytes forsteri,29
2129,25/1/2018,mise en quarantaine,19,Bubo scandiacus,33
2130,25/1/2018,soins divers,2,Elephas maximus,20
2131,25/1/2018,vaccin,17,Ursus maritimus,35
2132,25/1/2018,mise en quarantaine,27,Rangifer tarandus,25
2133,26/1/2018,vaccin,4,Panthera pardus,6
2134,26/1/2018,soins divers,11,Pongo pygmaeus,16
2135,26/1/2018,mise en quarantaine,1,Elephas maximus,9
2136,27/1/2018,platre,26,Haliaeetus leucocephalus,27
2137,27/1/2018,mise en quarantaine,28,Lutra lutra,19
2138,27/1/2018,soins divers,7,Aptenodytes forsteri,30
2139,27/1/2018,operation,11,Aptenodytes forsteri,9
2140,27/1/2018,vaccin,12,Ailurus fulgens,8
2141,28/1/2018,platre,11,Bubo scandiacus,19
2142,28/1/2018,operation,11,Rangifer tarandus,1
2143,28/1/2018,platre,17,Giraffa camelopardalis,26
2144,28/1/2018,mise en quarantaine,30,Panthera uncia,30
2145,28/1/2018,vaccin,12,Aptenodytes forsteri,11
2146,28/1/2018,operation,29,Aptenodytes forsteri,43
2147,28/1/2018,platre,11,Pongo pygmaeus,12
2148,28/1/2018,soins divers,4,Struthio camelus,22
2149,1/2/2018,vaccin,2,Panthera uncia,10
2150,1/2/2018,vaccin,3,Prunella modularis,24
2151,2/2/2018,vaccin,16,Panthera uncia,22
2152,2/2/2018,vaccin,2,Bubo scandiacus,2
2153,2/2/2018,operation,12,Giraffa camelopardalis,9
2154,2/2/2018,operation,12,Pongo pygmaeus,33
2155,2/2/2018,mise en quarantaine,30,Loxodonta africana,2
2156,2/2/2018,mise en quarantaine,27,Equus caballus,4
2157,2/2/2018,soins divers,27,Haliaeetus leucocephalus,4
2158,3/2/2018,mise en quarantaine,1,Prunella modularis,24
2159,3/2/2018,platre,29,Hippopotamus amphibius,19
2160,3/2/2018,operation,10,Pan troglodytes,17
2161,3/2/2018,operation,19,Aptenodytes forsteri,32
2162,3/2/2018,vaccin,19,Hippopotamus amphibius,34
2163,3/2/2018,platre,17,Felis silvestris,17
2164,3/2/2018,vaccin,25,Rangifer tarandus,5
2165,3/2/2018,vaccin,16,Ursus maritimus,11
2166,3/2/2018,mise en quarantaine,26,Pongo pygmaeus,8
2167,3/2/2018,soins divers,27,Lynx rufus,3
2168,3/2/2018,mise en quarantaine,11,Eunectes murinus,17
2169,3/2/2018,soins divers,30,Panthera tigris,6
2170,3/2/2018,platre,25,Lynx rufus,3
2171,4/2/2018,platre,3,Ardea cinerea,13
2172,4/2/2018,platre,26,Lutra lutra,28
2173,4/2/2018,operation,27,Aptenodytes forsteri,42
2174,4/2/2018,platre,10,Struthio camelus,30
2175,5/2/2018,platre,10,Lynx rufus,12
2176,6/2/2018,vaccin,17,Ursus maritimus,15
2177,6/2/2018,operation,2,Eunectes murinus,8
2178,6/2/2018,mise en quarantaine,19,Bubo scandiacus,32
2179,6/2/2018,operation,1,Bubo scandiacus,35
2180,6/2/2018,platre,27,Hippopotamus amphibius,25
2181,6/2/2018,vaccin,26,Falco peregrinus,26
2182,6/2/2018,platre,3,Prunella modularis,19
2183,6/2/2018,operation,25,Ursus maritimus,9
2184,6/2/2018,soins divers,2,Ursus maritimus,15
2185,6/2/2018,soins divers,12,Ailuropoda melanoleuca,17
2186,6/2/2018,soins divers,26,Loxodonta africana,20
2187,6/2/2018,operation,30,Ailurus fulgens,21
2188,7/2/2018,vaccin,7,Panthera pardus,15
2189,7/2/2018,operation,27,Elephas maximus,38
2190,7/2/2018,soins divers,3,Eunectes murinus,31
2191,7/2/2018,mise en quarantaine,4,Ailurus fulgens,36
2192,8/2/2018,mise en quarantaine,17,Giraffa camelopardalis,32
2193,8/2/2018,vaccin,29,Urocyon cinereoargenteus,22
2194,8/2/2018,vaccin,10,Ardea cinerea,40
2195,8/2/2018,platre,3,Pongo pygmaeus,31
2196,8/2/2018,soins divers,28,Panthera pardus,4
2197,8/2/2018,vaccin,25,Struthio camelus,18
2198,8/2/2018,platre,27,Equus caballus,33
